Initial Abundances for Pitrou BBN nucleosynthesis calculations

BBN abundances using Table VIII (assuming 85% 12C, 5% 14N and 10% 16O)
    n 0.0000000E+00     p 7.5288000E-01     d 1.2295000E-05     t 0.0000000E+00
 mn52 0.0000000E+00  mn53 0.0000000E+00  mn54 0.0000000E+00  mn55 0.0000000E+00
 fe42 0.0000000E+00  fe43 0.0000000E+00  fe44 0.0000000E+00  fe45 0.0000000E+00
 fe46 0.0000000E+00  fe47 0.0000000E+00  fe48 0.0000000E+00  fe49 0.0000000E+00
 fe50 0.0000000E+00  fe51 0.0000000E+00  fe52 0.0000000E+00  fe53 0.0000000E+00
 fe54 0.0000000E+00  fe55 0.0000000E+00  fe56 0.0000000E+00  fe57 0.0000000E+00
 fe58 0.0000000E+00  co44 0.0000000E+00  co45 0.0000000E+00  co46 0.0000000E+00
 co47 0.0000000E+00  co48 0.0000000E+00  co49 0.0000000E+00  co50 0.0000000E+00
 co51 0.0000000E+00  co52 0.0000000E+00  co53 0.0000000E+00  co54 0.0000000E+00
 co55 0.0000000E+00  co56 0.0000000E+00  co57 0.0000000E+00  co58 0.0000000E+00
 co59 0.0000000E+00  ni46 0.0000000E+00  ni47 0.0000000E+00  ni48 0.0000000E+00
 ni49 0.0000000E+00  ni50 0.0000000E+00  ni51 0.0000000E+00  ni52 0.0000000E+00
 ni53 0.0000000E+00  ni54 0.0000000E+00  ni55 0.0000000E+00  ni56 0.0000000E+00
 ni57 0.0000000E+00  ni58 0.0000000E+00  ni59 0.0000000E+00  ni60 0.0000000E+00
 ni61 0.0000000E+00  ni62 0.0000000E+00  ni63 0.0000000E+00  ni64 0.0000000E+00
 cu48 0.0000000E+00  cu49 0.0000000E+00  cu50 0.0000000E+00  cu51 0.0000000E+00
 cu52 0.0000000E+00  cu53 0.0000000E+00  cu54 0.0000000E+00  cu55 0.0000000E+00
 cu56 0.0000000E+00  cu57 0.0000000E+00  cu58 0.0000000E+00  cu59 0.0000000E+00
 cu60 0.0000000E+00  cu61 0.0000000E+00  cu62 0.0000000E+00  cu63 0.0000000E+00
 cu64 0.0000000E+00  cu65 0.0000000E+00  zn51 0.0000000E+00  zn52 0.0000000E+00
 zn53 0.0000000E+00  zn54 0.0000000E+00  zn55 0.0000000E+00  zn56 0.0000000E+00
 zn57 0.0000000E+00  zn58 0.0000000E+00  zn59 0.0000000E+00  zn60 0.0000000E+00
 zn61 0.0000000E+00  zn62 0.0000000E+00  zn63 0.0000000E+00  zn64 0.0000000E+00
 zn65 0.0000000E+00  zn66 0.0000000E+00  zn67 0.0000000E+00  zn68 0.0000000E+00
 zn69 0.0000000E+00  zn70 0.0000000E+00  ga53 0.0000000E+00  ga54 0.0000000E+00
 ga55 0.0000000E+00  ga56 0.0000000E+00  ga57 0.0000000E+00  ga58 0.0000000E+00
 ga59 0.0000000E+00  ga60 0.0000000E+00  ga61 0.0000000E+00  ga62 0.0000000E+00
 ga63 0.0000000E+00  ga64 0.0000000E+00  ga65 0.0000000E+00  ga66 0.0000000E+00
 ga67 0.0000000E+00  ga68 0.0000000E+00  ga69 0.0000000E+00  ga70 0.0000000E+00
 ga71 0.0000000E+00  ge55 0.0000000E+00  ge56 0.0000000E+00  ge57 0.0000000E+00
 ge58 0.0000000E+00  ge59 0.0000000E+00  ge60 0.0000000E+00  ge61 0.0000000E+00
 ge62 0.0000000E+00  ge63 0.0000000E+00  ge64 0.0000000E+00  ge65 0.0000000E+00
 ge66 0.0000000E+00  ge67 0.0000000E+00  ge68 0.0000000E+00  ge69 0.0000000E+00
 ge70 0.0000000E+00  ge71 0.0000000E+00  ge72 0.0000000E+00  ge73 0.0000000E+00
 ge74 0.0000000E+00  ge75 0.0000000E+00  ge76 0.0000000E+00  as57 0.0000000E+00
 as58 0.0000000E+00  as59 0.0000000E+00  as60 0.0000000E+00  as61 0.0000000E+00
 as62 0.0000000E+00  as63 0.0000000E+00  as64 0.0000000E+00  as65 0.0000000E+00
 as66 0.0000000E+00  as67 0.0000000E+00  as68 0.0000000E+00  as69 0.0000000E+00
 as70 0.0000000E+00  as71 0.0000000E+00  as72 0.0000000E+00  as73 0.0000000E+00
 as74 0.0000000E+00  as75 0.0000000E+00  se59 0.0000000E+00  se60 0.0000000E+00
 se61 0.0000000E+00  se62 0.0000000E+00  se63 0.0000000E+00  se64 0.0000000E+00
 se65 0.0000000E+00  se66 0.0000000E+00  se67 0.0000000E+00  se68 0.0000000E+00
 se69 0.0000000E+00  se70 0.0000000E+00  se71 0.0000000E+00  se72 0.0000000E+00
 se73 0.0000000E+00  se74 0.0000000E+00  se75 0.0000000E+00  se76 0.0000000E+00
 se77 0.0000000E+00  se78 0.0000000E+00  se79 0.0000000E+00  se80 0.0000000E+00
 se81 0.0000000E+00  se82 0.0000000E+00
